Collection Name,Collection Description,Unit Name,Collection ID,Title,Date Issued,Creator,Alternative Title,Translated Title,Uniform Title,Statement Of Responsibility,Date Created,Copyright Date,Abstract,Note,Note Type,Note,Note Type,Note,Note Type,Format,Resource Type,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Publisher,Subject,Related Item Label,Related Item Url,Geographic Subject,Temporal Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Bibliographic Id,Language,Terms Of Use,Table Of Contents,Physical Description,Other Identifier Type,Other Identifier,Comment,File Label,File Title,Instantiation Label,Instantiation Id,Instantiation Streaming URL,Instantiation Duration,Instantiation Mime Type,Instantiation Audio Bitrate,Instantiation Audio Codec,Instantiation Video Bitrate,Instantiation Video Codec,Instantiation Width,Instantiation Height,File Location,File Checksum,File Size,File Duration,File Aspect Ratio,File Frame Size,File Format,File Date Digitized,File Caption Text,File Caption Type,File Other Id,File Comment
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-06-29,,"PROGRAM DESCRIPTION: Series description: William Cavness reads works of literature on-air.  According to Cavness' oral history of the beginnings of Reading Aloud, the series came about, in part, due to the Soviet ban of the work Dr. Zhivago in the Fall of 1958, and the books fourth edition falling out of print in the United States.  As such Dr. Zhivago became the first work Cavness read, and the resulting success, directly lead to the creation of the series which ran until Cavness' retirement from WGBH in 1991.


ITEM DESCRIPTION: Episode of Reading Aloud, reading 64, Side A of Charles Dickens's Barnaby Rudge.",Radio program (Master),Item Type,"2/7/2020 SB: The test tone occasionally alternates between channels., Audio Hiss, Print Through, Audio Pops and/or Clicks",Technical Notes,Performance in a Studio,Content Type,,Sound,,,,,,,,,,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,203075,,,barcode203075_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/23065/barcode203075/PreservationMaster/barcode203075_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-01-30,,,,,,1980-10-28,,"PROGRAM DESCRIPTION: Radio.  A one-hour, weekday radio news magazine offering a mix of news, features, interviews, and music from around the globe.

---

PRI's The World, in partnership with WGBH.

Each weekday, host Marco Werman and his team of producers bring you the world's most interesting stories in an hour of radio that reminds us just how small our planet really is. The World is heard on over 300 stations across North America.

Description source - http://www.pri.org/programs/the-world (3/28/2016)


ITEM DESCRIPTION: Tony Kahn and Eddie Mair host this episode of The World from December 17, 1997. The topics of the day include a report by Carolyn Dempster about elections in South Africa and the roles of Winnie Mandela and Thabo Mbeki; a report by Chris Morris on human rights issues in Turkey; a report on activists in Palermo in the war against the mafia; a Yunsook Kang profile of South Korean Presidential candidate Kim Dae-Jung; and a report by Lucy Craft about a Japanese cartoon that sent children to the hospital.",News Tape,Item Type,"1/21/2020 EMu: Exposure fluctuates.  , Analog Video Dropouts, Audio Hiss, No Bars and Tone, Beginning Cut Off, Video Picture Breaks up, End Cut Off",Technical Notes,Event Coverage,Content Type,,Sound,,,,,,,,,,,,,,,Politics and Government,,,,,,,,,,,,,,,video recording identifier,214871,,,barcode214871_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode214871/PreservationMaster/barcode214871_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",2020-01-30,"Mair, Eddie",,,,,1997-12-17,,"PROGRAM DESCRIPTION: Radio.  A one-hour, weekday radio news magazine offering a mix of news, features, interviews, and music from around the globe.

---

PRI's The World, in partnership with WGBH.

Each weekday, host Marco Werman and his team of producers bring you the world's most interesting stories in an hour of radio that reminds us just how small our planet really is. The World is heard on over 300 stations across North America.

Description source - http://www.pri.org/programs/the-world (3/28/2016)


ITEM DESCRIPTION: This December 16, 1997 episode of The World features reports including an Alejandra Martins report about Nelson Mandela stepping down as party leader, including an interview with Lindiwe Zulu; a report about international postal services; a Stephen Beard report on Britain's Millennium Dome; an interview with Carol Bellamy on child malnutrition in the developing world and the United States; and a report by Rafael Jeserem on mafia defectors.",Radio program (Master),Item Type,OK,Technical Notes,Magazine,Content Type,,Sound,"Dempster, Carolyn","Kahn, Tony","Morris, Chris","Kang, Yunsook","Craft, Lucy",,,,,,,,,,News and Current Events,Peoples of Southern Africa,Peoples of East Asia,Peoples of the Middle East,Peoples of the Mediterranean,Politics and Government,,,,,,,,,,video recording identifier,214872,,,barcode214872_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode214872/PreservationMaster/barcode214872_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",2020-01-31,"Kahn, Tony",,,,,1997-12-16,,"PROGRAM DESCRIPTION: Radio.  A one-hour, weekday radio news magazine offering a mix of news, features, interviews, and music from around the globe.

---

PRI's The World, in partnership with WGBH.

Each weekday, host Marco Werman and his team of producers bring you the world's most interesting stories in an hour of radio that reminds us just how small our planet really is. The World is heard on over 300 stations across North America.

Description source - http://www.pri.org/programs/the-world (3/28/2016)


ITEM DESCRIPTION: This episode of The World from December 15, 1997 is hosted by Tony Kahn in Boston and Eddie Mair in London, and includes a report on potential peace between the U.S. and Iran including an interviews with Anthony Lake and Shaul Bakhash; an interview with Janet Jagan, a presidential candidate in Guyana; a report on the falling stock market in East Asia including an interview with David Wessel; a Rafael Jeserem report on the Mafia; and a discussion of the historical facts behind Steven Spielberg's ""Amistad"".",Radio program (Master),Item Type,OK,Technical Notes,Magazine,Content Type,,Sound,"Martins, Alejandra","Mair, Eddie","Zulu, Lindiwe","Beard, Stephen","Bellamy, Carol","Jeserem, Rafael",,,,,,,,,News and Current Events,Peoples of Southern AfricaPolitics and Government,Politics and Government,Architecture and Design,Health,Peoples of North America,Global Affairs,,,,,,,,,video recording identifier,214873,,,barcode214873_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode214873/PreservationMaster/barcode214873_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",2020-01-31,"Kahn, Tony",,,,,1997-12-15,,"PROGRAM DESCRIPTION: Radio.  A one-hour, weekday radio news magazine offering a mix of news, features, interviews, and music from around the globe.

---

PRI's The World, in partnership with WGBH.

Each weekday, host Marco Werman and his team of producers bring you the world's most interesting stories in an hour of radio that reminds us just how small our planet really is. The World is heard on over 300 stations across North America.

Description source - http://www.pri.org/programs/the-world (3/28/2016)


ITEM DESCRIPTION: This December 12, 1997 episode, hosted by Lisa Mullins and Eddie Mair, features reports on South Korea's economy, including an interview with John Burton; a Rageh Omaar report on Saddam Hussein's closing off of presidential palaces to outside inspectors; a Carolyn Dempster report on Robert Mugabe's unwillingness to compensate white farmers for their land; a Hugh Scofield report on Carlos the Jackal's trial; and a Tony Kahn report on art at the Getty Center.",Radio program (Master),Item Type,"Audio Hiss, Audio Hum, Audio Distortion",Technical Notes,Magazine,Content Type,,Sound,"Lake, Anthony","Mair, Eddie","Bakhash, Shaul","Jagan, Janet","Wessel, David","Jeserem, Rafael",,,,,,,,,Peoples of the Middle East,Peoples of Southern Africa,Politics and Government,Global Affairs,News and Current Events,Business and Economics,,,,,,,,,,video recording identifier,214874,,,barcode214874_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode214874/PreservationMaster/barcode214874_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",2020-01-31,"Mullins, Lisa",,,,,1997-12-12,,"PROGRAM DESCRIPTION: Radio.  A one-hour, weekday radio news magazine offering a mix of news, features, interviews, and music from around the globe.

---

PRI's The World, in partnership with WGBH.

Each weekday, host Marco Werman and his team of producers bring you the world's most interesting stories in an hour of radio that reminds us just how small our planet really is. The World is heard on over 300 stations across North America.

Description source - http://www.pri.org/programs/the-world (3/28/2016)


ITEM DESCRIPTION: This December 10, 1997 episode of The World hosted by Lisa Mullins in Boston and Eddie Mair in London includes a report on a global warming agreement, including interviews with Juliet Hindell and Maurice Strong; a report by Lucy Craft on bank closures in Japan; a report by Alejandra Martins about instituting human rights around the world; an interview with the band Ghazal about the lost songs of the Silk Road; a report on tensions between the U.N. and Iraq over weapons inspectors; and an interview with Franco Ferrati about Italian ideals of marriage.",Radio program (Master),Item Type,"Audio Distortion, Audio Hum",Technical Notes,Magazine,Content Type,,Sound,"Burton, John","Mair, Eddie","Omaar, Rageh","Dempster, Carolyn","Scofield, Hugh","Kahn, Tony",,,,,,,,,News and Current Events,Peoples of East Asia,Peoples of the Middle East,Peoples of Southern Africa,Politics and Government,Global Affairs,,,,,,,,,,video recording identifier,214875,,,barcode214875_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode214875/PreservationMaster/barcode214875_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",2020-01-31,"Mullins, Lisa",,,,,1997-12-10,,"PROGRAM DESCRIPTION: Radio.  A one-hour, weekday radio news magazine offering a mix of news, features, interviews, and music from around the globe.

---

PRI's The World, in partnership with WGBH.

Each weekday, host Marco Werman and his team of producers bring you the world's most interesting stories in an hour of radio that reminds us just how small our planet really is. The World is heard on over 300 stations across North America.

Description source - http://www.pri.org/programs/the-world (3/28/2016)


ITEM DESCRIPTION: This December 1, 1997 episode of The World, hosted by Lisa Mullins and Eddie Mair, includes an Alan Dowd report on the world meeting on global warming in Kyoto, including an interview with Mary Jordan; UN Peacekeepers in Haiti; a Boris Maximoff report on New York City; a Margaret Evans report on Belgium's attempts to get rid of old landmines; a Mark Tung report on Hong Kong's literary scene; an interview with Shivananda Khan on the efficacy of AIDS medications; and an Alejandra Martins report on Nazis in Argentina.",Radio program (Master),Item Type,OK,Technical Notes,Magazine,Content Type,,Sound,"Hindal, Juliet","Mair, Eddie","Hindal, Juliet","Kraft, Lucy","Craft, Lucy","Martins, Alejandra","Strong, Maurice","Ferrati, Franco",,,,,,,Peoples of East Asia,Climate Crisis,Music,Peoples of the Middle East,Politics and Government,Peoples of the Mediterranean,News and Current Events,Global Affairs,,,,,,,,video recording identifier,214882,,,barcode214882_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode214882/PreservationMaster/barcode214882_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",2020-01-31,"Mair, Eddie",,,,,1997-12-01,,"PROGRAM DESCRIPTION: Radio.  A one-hour, weekday radio news magazine offering a mix of news, features, interviews, and music from around the globe.

---

PRI's The World, in partnership with WGBH.

Each weekday, host Marco Werman and his team of producers bring you the world's most interesting stories in an hour of radio that reminds us just how small our planet really is. The World is heard on over 300 stations across North America.

Description source - http://www.pri.org/programs/the-world (3/28/2016)


ITEM DESCRIPTION: This episode of The World, hosted by Tony Khan and Eddie Mair, includes an interview with Daniel Lack on the Indian government's collapse; an interview with Anthony Cordesman on tensions between the UN and Iraq over compliance with weapons checking; a report by Jose Miguel Fonseca on Costa Rica's Rafael Calderon's attempt to patent his likeness to prevent political satire; a report by Stephen Beard on rural communities in Britain's opposition to the outlawing of fox hunting; an interview with Enrique Terjors on UN Peacekeepers' role in Haiti; and a report by Mary Ambrose on Matthew Bourne's gender-bending Swan Lake.",Radio program (Master),Item Type,"Audio Hiss, Audio Distortion",Technical Notes,Magazine,Content Type,,Sound,"Dowd, Alan","Mullins, Lisa","Jordan, Mary","Maximoff, Boris","Tung, Mark","Evans, Margaret","Khan, Shivananda","Martins, Alejandra",,,,,,,Politics and Government,News and Current Events,Climate Crisis,Health,Literature,Peoples of Western Europe,Military Forces and Armaments,Global Affairs,,,,,,,,video recording identifier,214883,,,barcode214883_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode214883/PreservationMaster/barcode214883_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",2020-01-31,"Kahn, Tony",,,,,1997-11-28,,"PROGRAM DESCRIPTION: Radio.  A one-hour, weekday radio news magazine offering a mix of news, features, interviews, and music from around the globe.

---

PRI's The World, in partnership with WGBH.

Each weekday, host Marco Werman and his team of producers bring you the world's most interesting stories in an hour of radio that reminds us just how small our planet really is. The World is heard on over 300 stations across North America.

Description source - http://www.pri.org/programs/the-world (3/28/2016)


ITEM DESCRIPTION: This November 27, 1997 episode of The World, hosted by Tony Kahn and Eddie Mair, includes a report on Saddam Hussein's quarrels with UN weapons inspectors, including an interview with Edward Peck; a report on INXS's Michael Hutchence's death; an interview between Lisa Mullins and Linda Day and James Loewen on Thanksgiving; a Carolyn Dempster report on accusations against Winnie Mandela of murder and assault; a report on the world's largest quiche; an interview with Ben Macintyre on Victorian criminal Adam Worth.",Radio program (Master),Item Type,"Audio Distortion, Audio Buzz",Technical Notes,Magazine,Content Type,,Sound,"Lack, Daniel","Mair, Eddie","Cordesman, Anthony","Fonseca, Jose Miguel","Beard, Stephen","Terjors, Enrique","Ambrose, Mary",,,,,,,,News and Current Events,Politics and Government,Peoples of the Middle East,Dance,Global Affairs,,,,,,,,,,,video recording identifier,214884,,,barcode214884_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode214884/PreservationMaster/barcode214884_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",2020-01-31,"Mair, Eddie",,,,,1997-11-27,,"PROGRAM DESCRIPTION: Radio.  A one-hour, weekday radio news magazine offering a mix of news, features, interviews, and music from around the globe.

---

PRI's The World, in partnership with WGBH.

Each weekday, host Marco Werman and his team of producers bring you the world's most interesting stories in an hour of radio that reminds us just how small our planet really is. The World is heard on over 300 stations across North America.

Description source - http://www.pri.org/programs/the-world (3/28/2016)


ITEM DESCRIPTION: This episode of The World, hosted by Tony Kahn and Eddie Mair includes a Laura Lynch report on world finances in Canada and Asia, including an interview with Miriko Hame and Sachihiro Takeshita; a report by Michel Friedman on the trying of a Nazi-era crime in Germany; an interview with Shanna Swan on falling sperm counts around the world; and an interview with Marcella Hazan on Italian cooking.",Radio program (Master),Item Type,"Audio Hum, Audio Distortion",Technical Notes,Magazine,Content Type,,Sound,"Peck, Edward","Kahn, Tony","Mullins, Lisa","Day, Linda","Loewen, James","Dempster, Carolyn","Macintyre, Ben",,,,,,,,News and Current Events,Politics and Government,Holiday,Food and Cooking,History,Global Affairs,,,,,,,,,,video recording identifier,214886,,,barcode214886_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode214886/PreservationMaster/barcode214886_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",2020-01-31,"Kahn, Tony",,,,,1997-11-25,,"PROGRAM DESCRIPTION: Radio.  A one-hour, weekday radio news magazine offering a mix of news, features, interviews, and music from around the globe.

---

PRI's The World, in partnership with WGBH.

Each weekday, host Marco Werman and his team of producers bring you the world's most interesting stories in an hour of radio that reminds us just how small our planet really is. The World is heard on over 300 stations across North America.

Description source - http://www.pri.org/programs/the-world (3/28/2016)


ITEM DESCRIPTION: This November 24, 1997 episode of The World hosted by Tony Kahn and Boston and Eddie Mair in London features an Alejandra Martins report on the collapse of Japanese corporate giant Yamaichi Securities, including an interview with Thomas Cargill; a report by Carolyn Dempster on Winnie Mandela's trial for murder and assault; a report by Amber Moss on Jorge Mas Canosa's death; a report on Bosnia; an Andrea Dubrowski report on a bird sanctuary in Mexico; an interview with Daniel Jurgen on oil reserves in Asia.",Radio program (Master),Item Type,Audio Distortion,Technical Notes,Magazine,Content Type,,Sound,"Lynch, Laura","Mair, Eddie","Hame, Miriko","Takeshita, Sachihiro","Friedman, Michel","Swan, Shanna","Hazan, Marcella",,,,,,,,News and Current Events,Politics and Government,Peoples of North America,Peoples of Western Europe,Health,Food and Cooking,Global Affairs,,,,,,,,,video recording identifier,214887,,,barcode214887_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode214887/PreservationMaster/barcode214887_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",2020-01-31,"Kahn, Tony",,,,,1997-11-24,,"PROGRAM DESCRIPTION: Radio.  A one-hour, weekday radio news magazine offering a mix of news, features, interviews, and music from around the globe.

---

PRI's The World, in partnership with WGBH.

Each weekday, host Marco Werman and his team of producers bring you the world's most interesting stories in an hour of radio that reminds us just how small our planet really is. The World is heard on over 300 stations across North America.

Description source - http://www.pri.org/programs/the-world (3/28/2016)


ITEM DESCRIPTION: This November 21, 1997 episode, hosted by Lisa Mullins and Eddie Mair of The World, includes a report on the crisis in Iraq; an interview with Warren Bailey on financial turmoil in South Korea; an interview with journalists Ivan Lebedev and Raghida Dergham on diplomatic efforts towards peace in Iraq; a report on peace in Yugoslavia; an interview with South African satirist Pieter-Dirk Uys; and a Jean Snedecker report on the round reading room at the British Museum.",Radio program (Master),Item Type,Audio Distortion,Technical Notes,Magazine,Content Type,,Sound,"Martins, Alejandra","Mair, Eddie","Cargill, Thomas","Dempster, Carolyn","Moss, Amber","Dubrowski, Andrea","Jurgen, Daniel",,,,,,,,News and Current Events,Business and Economics,Politics and Government,Global Affairs,Wildlife,Legal System - Criminal Justice System,,,,,,,,,,video recording identifier,214888,,,barcode214888_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode214888/PreservationMaster/barcode214888_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",2020-01-31,"Mair, Eddie",,,,,1997-11-21,,"PROGRAM DESCRIPTION: Radio.  A one-hour, weekday radio news magazine offering a mix of news, features, interviews, and music from around the globe.

---

PRI's The World, in partnership with WGBH.

Each weekday, host Marco Werman and his team of producers bring you the world's most interesting stories in an hour of radio that reminds us just how small our planet really is. The World is heard on over 300 stations across North America.

Description source - http://www.pri.org/programs/the-world (3/28/2016)


ITEM DESCRIPTION: This November 20, 1997 episode of The World, hosted by Lisa Mullins and Eddie Mair, includes reports on Russia-Iraq dealmaking, and an interview with Rob Watson and Charles Duelfer; a Margaret Evans report on Belgium's unemployment system; an interview with Pierre Henri Gaget and Jack Cakebread on the year's red wines; an interview with B. Ruby Rich and Philip Dodd on Hollywood's relationship with foreign directors; and a Stephen Beard report on the 50th anniversary of Queen Elizabeth II and Prince Philip.",Radio program (Master),Item Type,Audio Distortion,Technical Notes,Magazine,Content Type,,Sound,"Bailey, Warren","Mullins, Lisa","Lebedev, Ivan","Dergham, Raghida","Uys, Pieter-Dirk","Snedecker, Jean",,,,,,,,,News and Current Events,Global Affairs,Politics and Government,Literature,Business and Economics,,,,,,,,,,,video recording identifier,214889,,,barcode214889_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode214889/PreservationMaster/barcode214889_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",2020-01-31,,,,,,1997-11-20,,"PROGRAM DESCRIPTION: Radio.  A one-hour, weekday radio news magazine offering a mix of news, features, interviews, and music from around the globe.

---

PRI's The World, in partnership with WGBH.

Each weekday, host Marco Werman and his team of producers bring you the world's most interesting stories in an hour of radio that reminds us just how small our planet really is. The World is heard on over 300 stations across North America.

Description source - http://www.pri.org/programs/the-world (3/28/2016)


ITEM DESCRIPTION: This November 5, 1997 episode of The World, hosted by Lisa Mullins and Eddie Mair features an interview with Edward Peck on US-Iraq relations and Saddam Hussein; an interview with Susan Woodward on US troops in Bosnia; a Caroline Wyatt report on Holocaust survivors' fight for reparations from Germany; a Boris Maximoff report on Russia-US relations; an interview with Major General Edward Atkeson on US purchase of major weapons; a Laura Lynch report on HIV in the West Coast; and an interview with Brian Berman on acupuncture.",Radio program (Master),Item Type,Audio Distortion,Technical Notes,Magazine,Content Type,,Sound,,,,,,,,,,,,,,,News and Current Events,Politics and Government,Employment and Labor,Film and Television,Global Affairs,Food and Cooking,,,,,,,,,,video recording identifier,214898,,,barcode214898_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode214898/PreservationMaster/barcode214898_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",2020-01-31,"Mair, Eddie",,,,,1997-11-05,,"PROGRAM DESCRIPTION: Radio.  A one-hour, weekday radio news magazine offering a mix of news, features, interviews, and music from around the globe.

---

PRI's The World, in partnership with WGBH.

Each weekday, host Marco Werman and his team of producers bring you the world's most interesting stories in an hour of radio that reminds us just how small our planet really is. The World is heard on over 300 stations across North America.

Description source - http://www.pri.org/programs/the-world (3/28/2016)


ITEM DESCRIPTION: This November 4, 1997 episode of The World, hosted by Lisa Mullins and Eddie Mair, features a report by Frank Gardner on the standoff between UN inspectors and Saddam Hussein, including an interview with Hazir Tamurian; a Gary Robertson report on efforts to free British au pair Louise Woodward; a Juliet Hindal report on job inequality for women in Japan, including an interview with Susan Burns; an interview with Ed Koch and Ken Livingstone on the difficulties of being a mayor; and a report on religious suppression in Russia.",Radio program (Master),Item Type,Audio Distortion,Technical Notes,Magazine,Content Type,,Sound,"Peck, Edward","Mullins, Lisa","Woodward, Susan","Wyatt, Caroline","Maximoff, Boris","Atkeson, Edward","Lynch, Laura","Berman, Brian",,,,,,,News and Current Events,Global Affairs,Politics and Government,Health,Military Forces and Armaments,,,,,,,,,,,video recording identifier,214899,,,barcode214899_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode214899/PreservationMaster/barcode214899_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",2020-01-31,"Mair, Eddie",,,,,1997-11-04,,"PROGRAM DESCRIPTION: Radio.  A one-hour, weekday radio news magazine offering a mix of news, features, interviews, and music from around the globe.

---

PRI's The World, in partnership with WGBH.

Each weekday, host Marco Werman and his team of producers bring you the world's most interesting stories in an hour of radio that reminds us just how small our planet really is. The World is heard on over 300 stations across North America.

Description source - http://www.pri.org/programs/the-world (3/28/2016)


ITEM DESCRIPTION: This November 3, 1997 episode of The World, hosted by Lisa Mullins and Eddie Mair, includes a report on Iraq's opposition to UN weapons inspectors, including interviews with Nazir Hamdoon, Charles Delflow, and Rob Watson; a Margaret Evans report on a truck driver strike in France; an interview with Alex Boraine on South Africa's Truth and Reconciliation efforts; a Marina Bautin interview on Laika, Russia's favorite dog; and an interview with Lester Thurow on the economic crash in Asia.",Radio program (Master),Item Type,"1/31/2020 SB: The dropout at 38:41 is on the DAT., Audio Distortion",Technical Notes,Magazine,Content Type,,Sound,"Gardner, Frank","Mullins, Lisa","Tamurian, Hazir","Robertson, Gary","Hindal, Juliet","Burns, Susan","Koch, Ed","Livingstone, Ken",,,,,,,News and Current Events,Global Affairs,Politics and Government,Social Issues - Misogyny,Women and Women's History,Peoples of East Asia,Religion,,,,,,,,,video recording identifier,214900,,,barcode214900_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode214900/PreservationMaster/barcode214900_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
Think Twice,,Default Unit,,THINK TWICE 118,2020-01-29,,,,,,1994-08-27,,"PROGRAM DESCRIPTION: This quiz show is designed to test contestant's knowledge, imagination and intuition on a variety of subjects--from popular culture, current affairs and history to science, technology and the arts.  The program is taped before a live audience at WGBH's Allston studios and consists of three game rounds - ""Information,"" ""Imagination"" and ""Intuition"" rounds - and a bonus round.  Hosted by Monteria Ivey.


ITEM DESCRIPTION: Episode of game show Think Twice",Green Label Master (WGBH program),Item Type," , Audio Hum",Technical Notes,Game Show,Content Type,,Moving Image,,,,,,,,,,,,,,,Film and Television,History,,,,,,,,,,,,,,video recording identifier,217949,,,barcode217949.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode217949/PreservationMaster/barcode217949.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
American Experience,,Default Unit,,FDR (Part 2),2020-01-29,,,,,,,,"PROGRAM DESCRIPTION: This miniseries offers an in-depth portrait of a man who changed America's ideas about the presidency--Franklin Delano Roosevelt.  The series includes archival film, home movies and audio clips.  Included are interviews with Curtis Roosevelt, FDR's grandson; Eleanor Roosevelt, his niece; Eleanor Seagraves, his granddaughter; FDR biographers Geoffrey Ward, Doris Kearns Goodwin and Hugh Gallagher; journalist Alistair Cooke; and White House butler Alonzo Fields.  Author and historian David McCullough narrates.
Episode descriptions are as follows:   #701- ""The Center of the World"" - explores Roosevelt's family background and education, follows his early political career, and his courtship of his distant cousin Eleanor Roosevelt and their troubled marriage (including FDR's affair with Lucy Mercer, Eleanor's social secretary.)  ""Fear Itself"" - begins with Roosevelt's bout with polio at age 39 and follows his struggle to rehabilitate his body and his political career.  It also looks at Eleanor's involvement in politics.  #702 - ""The Grandest Job in the World"" focuses on the first two terms of Roosevelt's presidency and explores the paradox that a man of privilege came to be a hero to a varied coalition of ordinary Americans and a villain to members of his own social class.  The segment looks at FDR's struggle with the Depression, how he hid his physical disability from the American people, and how his relationship with his wife affected his personal and professional lives.  ""The Juggler"" - traces FDR's management of the war, including his growing personal ties to Winston Churchill and his relationship with Josef Stalin and the Soviet Union.  The program also explores Eleanor's attempt to convince him to maintain the principles of the New Deal despite the pressures of war.


ITEM DESCRIPTION: International version 2/95
FDR   -  Hour 3 International version doc only
Third episode of FDR documentary, about FDR's first two terms as president of the united states. ",Doc Only Master (WGBH program),Item Type,"1/27/2020 EMu: Black and white content with film artifacts at times. Poor color distortion over black and white segments at times. Long black tail, Audio Hiss, Video Picture Breaks up, Analog Video Dropouts",Technical Notes,Documentary,Content Type,,Moving Image,,,,,,,,,,,,,,,History,Biography,Politics and Government,,,,,,,,,,,,,video recording identifier,217950,,,barcode217950.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode217950/PreservationMaster/barcode217950.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
Think Twice,,Default Unit,,THINK TWICE 119,2020-02-11,,,,,,1994-08-27,,"PROGRAM DESCRIPTION: This quiz show is designed to test contestant's knowledge, imagination and intuition on a variety of subjects--from popular culture, current affairs and history to science, technology and the arts.  The program is taped before a live audience at WGBH's Allston studios and consists of three game rounds - ""Information,"" ""Imagination"" and ""Intuition"" rounds - and a bonus round.  Hosted by Monteria Ivey.


ITEM DESCRIPTION: Episode of Game show Think Twice",Green Label Master (WGBH program),Item Type,; OK,Technical Notes,Game Show,Content Type,,Moving Image,,,,,,,,,,,,,,,Film and Television,,,,,,,,,,,,,,,video recording identifier,217951,,,barcode217951.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode217951/PreservationMaster/barcode217951.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
