Collection Name,Collection Description,Unit Name,Collection ID,Title,Date Issued,Creator,Alternative Title,Translated Title,Uniform Title,Statement Of Responsibility,Date Created,Copyright Date,Abstract,Note,Note Type,Note,Note Type,Format,Resource Type,Contributor,Publisher,Genre,Subject,Related Item Label,Related Item Url,Geographic Subject,Temporal Subject,Topical Subject,Bibliographic Id,Language,Terms Of Use,Table Of Contents,Physical Description,Other Identifier Type,Other Identifier,Comment,File Label,File Title,Instantiation Label,Instantiation Id,Instantiation Streaming URL,Instantiation Duration,Instantiation Mime Type,Instantiation Audio Bitrate,Instantiation Audio Codec,Instantiation Video Bitrate,Instantiation Video Codec,Instantiation Width,Instantiation Height,File Location,File Checksum,File Size,File Duration,File Aspect Ratio,File Frame Size,File Format,File Date Digitized,File Caption Text,File Caption Type,File Other Id,File Comment
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Hattie Gossett interview,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228137,,,barcode228137.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228137/PreservationMaster/barcode228137.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,"Hattie Gossett ""Back at Ya"" at Dudley station",Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228136,,,barcode228136.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228136/PreservationMaster/barcode228136.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,In Search of the Blackamoor,1989-02-09,,,,,,,,James Spruill in (slo-mo),Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228126,,,barcode228126.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228126/PreservationMaster/barcode228126.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,In Search of the Blackamoor,1989-02-09,,,,,,,,Elliott's stand-up 2,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228134,,,barcode228134.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228134/PreservationMaster/barcode228134.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,In Search of the Blackamoor,1989-02-09,,,,,,,,Elliott's stand-up 3,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228135,,,barcode228135.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228135/PreservationMaster/barcode228135.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,"Cameras in court Byrne interview reel 2
 Reporter: Griffith",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,193811,,,barcode193811.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193811/PreservationMaster/barcode193811.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,1976-01-01,,,,,,,,"Cameras in court Byrne visual
 Reporter: Griffith",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,193810,,,barcode193810.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193810/PreservationMaster/barcode193810.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,1976-01-01,,,,,,,,"Cameras in court Byrne visuals
 Reporter: Griffith",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,193809,,,barcode193809.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193809/PreservationMaster/barcode193809.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,"Gays and Catholics, July 16
 Reporter: Meg Vaillancourt",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,193945,,,barcode193945.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193945/PreservationMaster/barcode193945.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,"Pages, May 16
 Reporter: Meg Vaillancourt",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,193941,,,barcode193941.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193941/PreservationMaster/barcode193941.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,"Georges Bank, July 9
 Reporter: Meg Vaillancourt",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,193942,,,barcode193942.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193942/PreservationMaster/barcode193942.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,"Stevie Wonder
 Reporter: Meg Vaillancourt",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,193943,,,barcode193943.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193943/PreservationMaster/barcode193943.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,"Duke / Drugs (SOT) Dec. 5
 Reporter: Meg Vaillancourt",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,193939,,,barcode193939.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode193939.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,"Dubs 3: (BAD DUB) Computers, Traffic, Social Security, TV in the State House
 Reporter: Meg Vaillancourt",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,193940,,,barcode193940.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193940/PreservationMaster/barcode193940.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,"Peter Sellars, Aug. 2
 Reporter: Meg Vaillancourt",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,193933,,,barcode193933.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193933/PreservationMaster/barcode193933.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,"Agent Orange, May 7
 Reporter: Meg Vaillancourt",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,193815,,,barcode193815.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193815/PreservationMaster/barcode193815.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,"Meg Vaillancourt field tape
 Men and Women Voters",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,193814,,,barcode193814.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193814/PreservationMaster/barcode193814.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,"Meg Vaillancourt
 MDC dub from show tape",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,193936,,,barcode193936.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193936/PreservationMaster/barcode193936.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,"Meg Vaillancourt field tape
 Citgo, Nov. 17",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,193845,,,barcode193845.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193845/PreservationMaster/barcode193845.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,"Meg Vaillancourt field tape
 Spalding Gray, Oct. 1 (Air Date 10/19)
 Chronology: 1980s",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,193937,,,barcode193937.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193937/PreservationMaster/barcode193937.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,"Meg Vaillancourt field tape
 High Tech Dub, Nov. 12
 Chronology: 1980s",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,193938,,,barcode193938.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193938/PreservationMaster/barcode193938.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,"Meg Vaillancourt field tape
 Moon for the Misbegotten, Jan. 11
 Chronology: 1980s",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,193846,,,barcode193846.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193846/PreservationMaster/barcode193846.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,"Meg Vaillancourt field tape
 Toxic Resolve, Sept. 5
 Chronology: 1980s",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,193934,,,barcode193934.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193934/PreservationMaster/barcode193934.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,"Meg Vaillancourt
 Computers Master",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,193935,,,barcode193935.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193935/PreservationMaster/barcode193935.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,1976-01-01,,,,,,,,"Ray Shamie as Republican US Senate candidate is compared to Reagan. Excerpt from debate with John Kerry sponsored by Herald. Clips from Reagan ad endorsing Shamie (in which he mispronounces Shamie's name), and Kerry ad in hardware store. Shamie criticizes Kerry for support of raising taxes to control deficit and fund domestic spending.

 Length: 4.18
 reporter: George",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,113152,,,barcode113152.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode113152/PreservationMaster/barcode113152.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,"Christy George field tape
 Navy at BC Jan. 21",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,193839,,,barcode193839.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode193839.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,"Meg Vaillancourt field tape
 Education",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,194140,,,barcode194140.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode194140/PreservationMaster/barcode194140.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
NOVA,,Default Unit,,"KGB, the Computer and Me (The)",1990-10-02,,,,,,,,"Camera Rolls Y1, Y2
 Computer Espionage",Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,295954,,,barcode295954.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode295954/PreservationMaster/barcode295954.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
NOVA,,Default Unit,,"KGB, the Computer and Me (The)",1990-10-02,,,,,,,,"Camera Rolls Y3, Y4
 Computer Espionage",Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,295953,,,barcode295953.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode295953/PreservationMaster/barcode295953.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
NOVA,,Default Unit,,"KGB, the Computer and Me (The)",1990-10-02,,,,,,,,"Camera Rolls Y5, Y6
 Computer Espionage",Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,295952,,,barcode295952.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode295952.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Black Studies Teleconference part 5,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228048,,,barcode228048.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228048/PreservationMaster/barcode228048.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Black Studies Teleconference part 7,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228051,,,barcode228051.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228051/PreservationMaster/barcode228051.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Black Studies Teleconference part 8,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228050,,,barcode228050.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228050/PreservationMaster/barcode228050.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Black Studies Teleconference part 9,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228049,,,barcode228049.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228049/PreservationMaster/barcode228049.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,"""Good News"" Gospel group @ Shiloh Baptist",Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228036,,,barcode228036.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228036/PreservationMaster/barcode228036.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,Will Roxbury Secede,1986-03-20,,,,,,,,Councilor Bruce Bolling interview re: Roxbury secession 1986 pt 1,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228039,,,barcode228039.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228039/PreservationMaster/barcode228039.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,1983 Boston Mayor visuals - exteriors of Mel King and Ray Flynn headquarters,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228038,,,barcode228038.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228038/PreservationMaster/barcode228038.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,"""Good News"" - Shiloh Baptist Church",Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228037,,,barcode228037.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228037/PreservationMaster/barcode228037.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,Malcolm X,1974-02-20,,,,,,,,"Malcolm X hats and apparel , B-Roll of people, Downtown Boston.",Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,229498,,,barcode229498.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode229498/PreservationMaster/barcode229498.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,Malcolm X,1974-02-20,,,,,,,,"Malcolm Jarvis (""Shorty"" ), Malcolm X's friend, interview 1.",Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,229500,,,barcode229500.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode229500/PreservationMaster/barcode229500.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,Malcolm X,1974-02-20,,,,,,,,"Malcolm Jarvis (""Shorty"" ), Malcolm X's friend, interview 2.",Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,229477,,,barcode229477.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode229477/PreservationMaster/barcode229477.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,Malcolm X,1974-02-20,,,,,,,,"Malcolm Jarvis (""Shorty"" ), Malcolm X's friend, interview 3.",Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,229497,,,barcode229497.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode229497/PreservationMaster/barcode229497.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,Malcolm X,1974-02-20,,,,,,,,"Richard DeLuca Trio w/ Malcolm Jarvis (""Shorty"" ) on trumpet 1.",Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,229476,,,barcode229476.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode229476/PreservationMaster/barcode229476.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,Malcolm X,1974-02-20,,,,,,,,"Richard DeLuca Trio w/ Malcolm Jarvis (""Shorty"" ) on trumpet 2.",Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,229499,,,barcode229499.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode229499/PreservationMaster/barcode229499.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,"No Visible Means Of Support acapella performance in-studio, several takes.",Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,229383,,,barcode229383.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode229383.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,"1992. Carol Moseley-Braun. footage shot in Chicago. Tape opens with footage of St. Patricks Day parade in Chicago, brief shot of Bill Clinton marching in parade.Exteriors of First Baptist Church of Chicago; speech by Carol Moseley-Braun",Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,100164,,,barcode100164.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode100164/PreservationMaster/barcode100164.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Ruth Batson interview on Black Institutions,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,117067,,,barcode117067.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode117067/PreservationMaster/barcode117067.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,"Robert Guillaume, performance singing",Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,229450,,,barcode229450.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode229450/PreservationMaster/barcode229450.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,"interview Maurice White and Philip Bailey of Earth, Wind and Fire",Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,229449,,,barcode229449.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode229449/PreservationMaster/barcode229449.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,"Earth, Wind, and Fire performance pt. 1",Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,229448,,,barcode229448.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode229448/PreservationMaster/barcode229448.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,"Earth, Wind, and Fire performance pt. 2",Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,229446,,,barcode229446.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode229446/PreservationMaster/barcode229446.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Crockett's Victory Garden,,Default Unit,,Victory Garden 417,1905-06-01,,,,,,,,Original Footage of Bob Thompsons's introduction to Crockett's Victory Garden. Thompson does multiple takes.,Green Label Master (WGBH program),local,Instructional,general,,,,,Instructional,,,,,,"Agriculture and Farming, Gardening",,,,,,video recording identifier,273402,,,barcode273402.mov,,,https://avalon.wgbh.org/hls/avalon/22807/barcode273402/Preservation Master/barcode273402.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
NHK Music Project,,Default Unit,,Welcome to Austria,2500-01-01,,,,,,,,,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,227939,,,barcode227939_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode227939/PreservationMaster/barcode227939_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,A,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,203070,,,barcode203070_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode203070/PreservationMaster/barcode203070_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,B,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,203071,,,barcode203071_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode203071/PreservationMaster/barcode203071_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,C,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,203072,,,,,,https://avalon.wgbh.org/hls/avalon/nothing/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,A,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,203075,,,barcode203075_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode203075/PreservationMaster/barcode203075_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,B,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,203073,,,barcode203073_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode203073/PreservationMaster/barcode203073_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,C,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,203074,,,,,,https://avalon.wgbh.org/hls/avalon/nothing/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,A,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202923,,,barcode202923_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202923/PreservationMaster/barcode202923_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,B,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202921,,,barcode202921_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202921/PreservationMaster/barcode202921_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,C,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202922,,,,,,https://avalon.wgbh.org/hls/avalon/nothing/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,A,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202920,,,barcode202920_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202920/PreservationMaster/barcode202920_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,B,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202918,,,barcode202918_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202918/PreservationMaster/barcode202918_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,C,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202919,,,,,,https://avalon.wgbh.org/hls/avalon/nothing/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,A,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202916,,,barcode202916_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202916/PreservationMaster/barcode202916_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,B,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202915,,,barcode202915_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202915/PreservationMaster/barcode202915_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,1979-07-06,,,,,,,,C,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,202914,,,,,,https://avalon.wgbh.org/hls/avalon/nothing/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
