Collection Name,Collection Description,Unit Name,Collection ID,Title,Date Issued,Creator,Alternative Title,Translated Title,Uniform Title,Statement Of Responsibility,Date Created,Copyright Date,Abstract,Note,Note Type,Note,Note Type,Note,Note Type,Format,Resource Type,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Publisher,Note,Subject,Related Item Label,Related Item Url,Geographic Subject,Temporal Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Bibliographic Id,Language,Terms Of Use,Table Of Contents,Physical Description,Other Identifier Type,Other Identifier,Comment,File Label,File Title,Instantiation Label,Instantiation Id,Instantiation Streaming URL,Instantiation Duration,Instantiation Mime Type,Instantiation Audio Bitrate,Instantiation Audio Codec,Instantiation Video Bitrate,Instantiation Video Codec,Instantiation Width,Instantiation Height,File Location,File Checksum,File Size,File Duration,File Aspect Ratio,File Frame Size,File Format,File Date Digitized,File Caption Text,File Caption Type,File Other Id,File Comment
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-10,,,,,,,,"Pages, May 16Reporter: Meg VaillancourtNews Report on state budget and representative personell, specifically pages",News Tape,local,,general,"1/23/2020 EMu: Two separate mono channels. No audio in right channel at times. Right channel contains low level audio. No timecode. , Analog Video Dropouts, Audio Hiss, Audio Low Levels",general,,,,,,,,,,,,News Report,,,,,,News and Current Events,Politics and Government,,,,,,,,,,,,,,video recording identifier,193945,,,barcode193945.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193945/PreservationMaster/barcode193945.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-10,,,,,,1980-10-28,,"Jimmy  Carter - Ronald Reagan  Debate, reel 1Footage of debate between Reagan and Carter",News Tape,local,,general,"1/21/2020 EMu: Color breakups after bars. Audible timecode in right channel., Video Picture Breaks up, Audio Hiss, Analog Video Dropouts",general,,,,,,,,,,,,Event Coverage,,,,,,Politics and Government,,,,,,,,,,,,,,,video recording identifier,194112,,,barcode194112.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode194112/PreservationMaster/barcode194112.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Standalone Programs,,Default Unit,,Signature Masters,2020-02-10,,,,,,1978-03-01,,"Horner, WGBH Signature Masters""the following program was produced by WGBH Boston""",Radio program (Master),local,,general,"2/7/2020 SB: The test tone starts left channel only., Audio Hiss",general,,,,,,,,,,,,Promo,,,,,,Film and Television,,,,,,,,,,,,,,,video recording identifier,194113,,,barcode194113.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode194113/PreservationMaster/barcode194113.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-10,,,,,,1980-09-02,,"Field Tape: JIMMY CARTER IN MISSOURIFootage of Jimmy Carter speaking about priorities of his government for the future, then cuts to football game, commercials, a Royals baseball game",Stock Footage,local,,general,"1/20/2020 EMu: Two separate mono channels. Black between segments. Static between segments. Rolling midway through footage inherent to tape. Transitional breakups at times. Color breakups at times.  , No Bars and Tone, Audio Hiss, Analog Video Dropouts, Video Picture Breaks up, End Cut Off, Beginning Cut Off",general,,,,,,,,,,,,Scenics / B-roll,,,,,,Politics and Government,,,,,,,,,,,,,,,video recording identifier,194114,,,barcode194114.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode194114/PreservationMaster/barcode194114.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
20/20 ABC,,Default Unit,,20/20 ABC,2020-02-10,,,,,,1980-08-12,,field tape: TED KENNEDY CONVENTION SPEECHABC's 20/20 episode featuring Ted Kennedy's speech at the DNC,News Tape,local,,general,"1/21/2020 EMu: Dropouts over footage at times. Audible timecode present., No Bars and Tone, Audio Hiss, Analog Video Dropouts, Beginning Cut Off, Audio Low Levels",general,,,,,,,,,,,,Event Coverage,,,,,,Politics and Government,,,,,,,,,,,,,,,video recording identifier,194139,,,barcode194139.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode194139/PreservationMaster/barcode194139.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
NOVA,,Default Unit,,"KGB, the Computer and Me (The)",2020-02-10,,,,,,1990-05-17,,"Original footage of Cliff Stoll, an astronomer, telling the story of how he helped catch hacker Markus Hess for ""The KGB, The Computer and Me"" by Nova. The footage is for rolls Y1 and Y2, and contains multiple takes filmed on 1990-05-15.",Original footage,local,Y,general,"1/22/2020 EMu: Breakup and dropouts over footage at times. Paused image printed to the tape. Rolling printed to the tape., Analog Video Dropouts, Video Picture Breaks up, Audio Hiss, No Bars and Tone",general,,,,,,,,,,,,Performance in a Studio,,,,,,Science,Technology,,,,,,,,,,,,,,video recording identifier,194140,,,barcode194140.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode194140/PreservationMaster/barcode194140.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-10,,,,,,1988-01-14,,"Failed GOP 1988 presidential candidates - Jack Kemp, two spots ""Oil Prices""  and ""Block the Cut"" by Campaign Consultants, Inc.",Stock Footage,local,,general,"1/21/2020 EMu: Black after bars and between segments. Switch point present. , Analog Video Dropouts, Audio Hiss",general,,,,,,,,,,,,Promo,,,,,,,,,,,,,,,,,,,,,video recording identifier,200927,,,barcode200927.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode200927/PreservationMaster/barcode200927.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-05-31,,"Episode of Reading Aloud, reading 18, Side A of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"Audio Hiss, Audio Pops and/or Clicks, Audio Distortion, Print Through",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,202897,,,barcode202897_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202897/PreservationMaster/barcode202897_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-05-31,,"Episode of Reading Aloud, reading 17, Side A of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"Audio Hiss, Print Through, Audio Pops and/or Clicks",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,202898,,,barcode202898_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202898/PreservationMaster/barcode202898_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-05-31,,"Episode of Reading Aloud, reading 18, Side B of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"Audio Hiss, Audio Pops and/or Clicks, Print Through",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,202899,,,barcode202899_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202899/PreservationMaster/barcode202899_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-05-31,,"Episode of Reading Aloud, reading 17, Side B of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"Audio Hiss, Audio Pops and/or Clicks",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,202900,,,barcode202900_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202900/PreservationMaster/barcode202900_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-05-11,,"Episode of Reading Aloud, reading 16, Side A of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"Audio Hiss, Audio Pops and/or Clicks, Audio Distortion",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,202901,,,barcode202901_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202901/PreservationMaster/barcode202901_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-05-11,,"Episode of Reading Aloud, reading 16, Side B of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"Audio Hiss, Audio Pops and/or Clicks, Audio Distortion, Print Through",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,202902,,,barcode202902_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202902/PreservationMaster/barcode202902_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-05-11,,"Episode of Reading Aloud, reading 15, Side A of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"Audio Hiss, Audio Pops and/or Clicks, Audio Distortion",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,202903,,,barcode202903_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202903/PreservationMaster/barcode202903_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-05-11,,"Episode of Reading Aloud, reading 15, Side B of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"Audio Hiss, Audio Pops and/or Clicks, Audio Distortion, Print Through",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,202904,,,barcode202904_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202904/PreservationMaster/barcode202904_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
NOVA,,Default Unit,,Hidden City (The),2020-02-07,,,,,,1988-05-19,,Original interview about the New York City water system. The interview takes place at the base of the Kensico Dam. The interviewee discusses the ways that development has impacted the water system and reminisces about the height of the drought of 1982 and '83.,Original footage,local,Y,general,"1/22/2020 EMu: No tone over bars at top. Timecode burned onto bottom of frame. Film artifacts present. Exposure fluctuates. Timecode plays over black at tail.  Loud hiss over black at tail. , Analog Video Dropouts, Audio Hiss",general,,,,,,,,,,,,Interview,,,,"North Castle, NY",,Engineering,Transportation and Public Works,,,,,,,,,,,,,,video recording identifier,202905,,,barcode202905_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202905/PreservationMaster/barcode202905_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-05-31,,"Episode of Reading Aloud, reading 22, Side B of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"2/7/2020 SB: High frequencies fluctuate slightly at the end., Audio Pops and/or Clicks, Print Through, Audio Hiss",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,202907,,,barcode202907_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202907/PreservationMaster/barcode202907_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-05-31,,"Episode of Reading Aloud, reading 20, Side A of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"Audio Pops and/or Clicks, Print Through, Audio Hiss",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,202909,,,barcode202909_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202909/PreservationMaster/barcode202909_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-05-31,,"Episode of Reading Aloud, reading 21, Side B of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"2/7/2020 SB: High frequencies fluctuate slightly at the end. , Audio Hiss, Audio Pops and/or Clicks, Audio Distortion",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,202910,,,barcode202910_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202910/PreservationMaster/barcode202910_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-05-31,,"Episode of Reading Aloud, reading 21, Side A of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"2/7/2020 SB: High frequencies fluctuate slightly at the end., Audio Hiss, Audio Pops and/or Clicks, Print Through",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,202912,,,barcode202912_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202912/PreservationMaster/barcode202912_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-05-31,,"Episode of Reading Aloud, reading 19 of Charles Dickens's Barnaby Rudge. ",Radio program (Master),local,,general,"Audio Hiss, Audio Pops and/or Clicks",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,202913,,,barcode202913_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202913/PreservationMaster/barcode202913_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-06-28,,"Episode of Reading Aloud, reading 61, Side B of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"Audio Hiss, Audio Pops and/or Clicks, Audio Distortion",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,202916,,,barcode202916_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202916/PreservationMaster/barcode202916_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-06-22,,"Episode of Reading Aloud, reading 53, Side B of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"2/7/2020 SB: The test tone occasionally alternates between channels., Audio Hiss, Audio Pops and/or Clicks, Print Through",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,202917,,,barcode202917_01.wa,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202917/PreservationMaster/barcode202917_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-06-28,,"Episode of Reading Aloud, reading 62, Side B of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"2/6/2020 JF: Fluctuations during test tones are inherent to the reel. , Audio Hiss, Audio Pops and/or Clicks",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,202920,,,barcode202920_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202920/PreservationMaster/barcode202920_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-06-28,,"Episode of Reading Aloud, reading 63, Side B of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"Audio Hiss, Audio Pops and/or Clicks, Audio Distortion, Print Through",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,202923,,,barcode202923_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode202923/PreservationMaster/barcode202923_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-06-22,,"Episode of Reading Aloud, reading 55, Side B of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"2/7/2020 SB: The test tone occasionally alternates between channels., Audio Hiss, Audio Pops and/or Clicks, Print Through, Audio Distortion",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,203061,,,barcode203061_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode203061/PreservationMaster/barcode203061_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-06-27,,"Episode of Reading Aloud, reading 56, Side A of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"2/7/2020 SB: The false start after the tone is on the tape., Audio Hiss, Audio Pops and/or Clicks, Print Through",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,203062,,,barcode203062_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode203062/PreservationMaster/barcode203062_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-05-31,,"Episode of Reading Aloud, reading 23, Side B of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"2/7/2020 SB: Content starts left channel only during the musical introduction. High frequencies fluctuate slightly at the end., Audio Hiss, Audio Pops and/or Clicks, Audio Distortion",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,203063,,,barcode203063_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode203063/PreservationMaster/barcode203063_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-06-27,,"Episode of Reading Aloud, reading 56, Side B of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"2/7/2020 SB: The false start after the tone is on the tape., Audio Hiss, Audio Pops and/or Clicks, Print Through",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,203066,,,barcode203066_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode203066/PreservationMaster/barcode203066_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-06-22,,"Episode of Reading Aloud, reading 54, Side A of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"2/7/2020 SB: The test tone occasionally alternates between channels., Audio Hiss, Audio Pops and/or Clicks, Print Through",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,203067,,,barcode203067_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode203067/PreservationMaster/barcode203067_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-06-22,,"Episode of Reading Aloud, reading 55, Side A of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"2/7/2020 SB: The test tone occasionally alternates between channels., Audio Pops and/or Clicks, Audio Hiss, Audio Distortion, Print Through",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,203068,,,barcode203068_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode203068/PreservationMaster/barcode203068_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-06-22,,"Episode of Reading Aloud, reading 54, Side B of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"2/7/2020 SB: The test tone occasionally alternates between channels., Audio Hiss, Print Through, Audio Pops and/or Clicks",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,203069,,,barcode203069_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode203069/PreservationMaster/barcode203069_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-06-29,,"Episode of Reading Aloud, reading 65, Side B of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"2/7/2020 SB: The test tone occasionally alternates between channels., Audio Hiss, Audio Pops and/or Clicks, Print Through",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,203070,,,barcode203070_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode203070/PreservationMaster/barcode203070_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Charles Dickens: Barnaby Rudge,2020-02-07,,,,,,1979-06-29,,"Episode of Reading Aloud, reading 64, Side B of Charles Dickens's Barnaby Rudge.",Radio program (Master),local,,general,"2/7/2020 SB: The test tone occasionally alternates between channels., Audio Hiss, Print Through, Audio Pops and/or Clicks",general,,,,,,,,,,,,Performance in a Studio,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,203075,,,barcode203075_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode203075/PreservationMaster/barcode203075_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-01-30,,,,,,1980-10-28,,"Jimmy  Carter - Ronald Reagan  Debate, reel 2News Footage of Carter v Reagan debate as part of Macneil/Leher special report analysis of debate",News Tape,local,,general,"1/21/2020 EMu: Exposure fluctuates.  , Analog Video Dropouts, Audio Hiss, No Bars and Tone, Beginning Cut Off, Video Picture Breaks up, End Cut Off",general,,,,,,,,,,,,Event Coverage,,,,,,Politics and Government,,,,,,,,,,,,,,,video recording identifier,214871,,,barcode214871_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode214871/PreservationMaster/barcode214871_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
"World, The",,Default Unit,,"World, The (General Series)",2020-01-30,"Mair, Eddie",,,,,1997-12-17,,"Tony Kahn and Eddie Mair host this episode of The World from December 17, 1997. The topics of the day include a report by Carolyn Dempster about elections in South Africa and the roles of Winnie Mandela and Thabo Mbeki; a report by Chris Morris on human rights issues in Turkey; a report on activists in Palermo in the war against the mafia; a Yunsook Kang profile of South Korean Presidential candidate Kim Dae-Jung; and a report by Lucy Craft about a Japanese cartoon that sent children to the hospital.",Radio program (Master),local,,general,OK,general,,,"Dempster, Carolyn","Kahn, Tony","Morris, Chris","Kang, Yunsook","Craft, Lucy",,,,,Magazine,,,,,,News and Current Events,Peoples of Southern Africa,Peoples of East Asia,Peoples of the Middle East,Peoples of the Mediterranean,Politics and Government,,,,,,,,,,video recording identifier,214872,,,barcode214872_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode214872/PreservationMaster/barcode214872_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
"World, The",,Default Unit,,"World, The (General Series)",2020-01-31,"Kahn, Tony",,,,,1997-12-16,,"This December 16, 1997 episode of The World features reports including an Alejandra Martins report about Nelson Mandela stepping down as party leader, including an interview with Lindiwe Zulu; a report about international postal services; a Stephen Beard report on Britain's Millennium Dome; an interview with Carol Bellamy on child malnutrition in the developing world and the United States; and a report by Rafael Jeserem on mafia defectors.",Radio program (Master),local,,general,OK,general,,,"Martins, Alejandra","Mair, Eddie","Zulu, Lindiwe","Beard, Stephen","Bellamy, Carol","Jeserem, Rafael",,,,Magazine,,,,,,News and Current Events,Peoples of Southern AfricaPolitics and Government,Politics and Government,Architecture and Design,Health,Peoples of North America,Global Affairs,,,,,,,,,video recording identifier,214873,,,barcode214873_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode214873/PreservationMaster/barcode214873_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
"World, The",,Default Unit,,"World, The (General Series)",2020-01-31,"Kahn, Tony",,,,,1997-12-15,,"This episode of The World from December 15, 1997 is hosted by Tony Kahn in Boston and Eddie Mair in London, and includes a report on potential peace between the U.S. and Iran including an interviews with Anthony Lake and Shaul Bakhash; an interview with Janet Jagan, a presidential candidate in Guyana; a report on the falling stock market in East Asia including an interview with David Wessel; a Rafael Jeserem report on the Mafia; and a discussion of the historical facts behind Steven Spielberg's ""Amistad"".",Radio program (Master),local,,general,"Audio Hiss, Audio Hum, Audio Distortion",general,,,"Lake, Anthony","Mair, Eddie","Bakhash, Shaul","Jagan, Janet","Wessel, David","Jeserem, Rafael",,,,Magazine,,,,,,Peoples of the Middle East,Peoples of Southern Africa,Politics and Government,Global Affairs,News and Current Events,Business and Economics,,,,,,,,,,video recording identifier,214874,,,barcode214874_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode214874/PreservationMaster/barcode214874_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
"World, The",,Default Unit,,"World, The (General Series)",2020-01-31,"Mullins, Lisa",,,,,1997-12-12,,"This December 12, 1997 episode, hosted by Lisa Mullins and Eddie Mair, features reports on South Korea's economy, including an interview with John Burton; a Rageh Omaar report on Saddam Hussein's closing off of presidential palaces to outside inspectors; a Carolyn Dempster report on Robert Mugabe's unwillingness to compensate white farmers for their land; a Hugh Scofield report on Carlos the Jackal's trial; and a Tony Kahn report on art at the Getty Center.",Radio program (Master),local,,general,"Audio Distortion, Audio Hum",general,,,"Burton, John","Mair, Eddie","Omaar, Rageh","Dempster, Carolyn","Scofield, Hugh","Kahn, Tony",,,,Magazine,,,,,,News and Current Events,Peoples of East Asia,Peoples of the Middle East,Peoples of Southern Africa,Politics and Government,Global Affairs,,,,,,,,,,video recording identifier,214875,,,barcode214875_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode214875/PreservationMaster/barcode214875_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
